Channel_Name,Subscribers,Views,Videos,Watch_Time,Revenue
TechMaster,120000,2500000.0,180.0,450000.0,25000
CodeWithAryan,85000,1800000.0,140.0,320000.0,18000
GamingX,250000,7200000.0,320.0,950000.0,65000
FoodVlogs,95000,2100000.0,160.0,380000.0,22000
StudyHub,150000,3500000.0,210.0,620000.0,40000
AIWorld,70000,,120.0,280000.0,15000
TravelIndia,110000,2900000.0,,500000.0,30000
MovieTalks,200000,5000000.0,260.0,800000.0,55000
FitnessPro,130000,3100000.0,220.0,580000.0,36000
DailyNews,175000,4200000.0,240.0,710000.0,48000
TechGuru,98000,2300000.0,170.0,410000.0,27000
LearnPython,60000,1200000.0,100.0,250000.0,12000
FinanceKing,145000,3300000.0,200.0,610000.0,42000
MusicBeat,280000,8100000.0,350.0,1100000.0,75000
NatureLens,50000,900000.0,90.0,,9000
RoboTech,125000,2800000.0,185.0,490000.0,31000
SmartCoding,90000,1900000.0,145.0,340000.0,19000
HealthZone,135000,3000000.0,205.0,560000.0,35000
ScienceLab,105000,2400000.0,175.0,430000.0,28000
HistoryFacts,80000,1600000.0,130.0,290000.0,16000
CryptoTalk,155000,3700000.0,215.0,670000.0,45000
FunClips,220000,6100000.0,290.0,920000.0,62000
StartupLife,115000,2600000.0,180.0,470000.0,29000
ArtStudio,65000,1300000.0,110.0,240000.0,14000
EduPoint,170000,4000000.0,235.0,700000.0,47000
